region,species_id,taxon_group,n_presence,lambda_s,lambda_selection,model,auc_random,auc_tgb,delta_tgb_minus_random,n_bg_random,n_bg_tgb,converged_random,converged_tgb,skip_random,skip_tgb
NSW,nsw28,ou,53,1.0,po_random_5fold,maxnet_bg10k,0.6800722435696361,,,50000,114,True,False,,
NSW,nsw28,ou,53,1.0,po_random_5fold,maxnet_bg50k,0.6833609433814304,,,50000,114,True,False,,
NSW,nsw39,rt,16,0.01,frozen_n_po_lt_30,additive_kan_bce,0.6229243363312984,0.4635351134722028,-0.15938922285909563,50000,48,True,True,,
NSW,nsw39,rt,16,0.01,frozen_n_po_lt_30,additive_kan_ipp,0.6214447706479023,0.4740202246143809,-0.14742454603352134,50000,48,True,True,,
NSW,nsw39,rt,16,0.01,frozen_n_po_lt_30,gam_ipp_same_basis,0.621176817807602,0.4730144306196313,-0.14816238718797076,50000,48,True,True,,
NSW,nsw39,rt,16,0.01,frozen_n_po_lt_30,maxnet_bg10k,0.5215721453314073,,,50000,48,True,False,,
NSW,nsw39,rt,16,0.01,frozen_n_po_lt_30,maxnet_bg50k,0.5174596517389751,,,50000,48,True,False,,
NSW,nsw43,ru,42,0.1,po_random_5fold,additive_kan_bce,0.6466917855806745,0.5775012025012025,-0.06919058307947201,50000,68,True,True,,
NSW,nsw43,ru,42,0.1,po_random_5fold,additive_kan_ipp,0.6609280637058415,0.5942961359628026,-0.06663192774303883,50000,68,True,True,,
NSW,nsw43,ru,42,0.1,po_random_5fold,gam_ipp_same_basis,0.6610082304526749,0.5942827748383304,-0.06672545561434451,50000,68,True,True,,
NSW,nsw43,ru,42,0.1,po_random_5fold,maxnet_bg10k,0.6877371599593821,,,50000,68,True,False,,
NSW,nsw43,ru,42,0.1,po_random_5fold,maxnet_bg50k,0.6896277590722035,,,50000,68,True,False,,
NSW,nsw52,sr,186,1.0,po_random_5fold,additive_kan_bce,0.8090226104460979,0.7848520795140012,-0.024170530932096757,50000,489,True,True,,
NSW,nsw52,sr,186,1.0,po_random_5fold,additive_kan_ipp,0.7973111901937526,0.7923002264639275,-0.005010963729825124,50000,489,True,True,,
NSW,nsw52,sr,186,1.0,po_random_5fold,gam_ipp_same_basis,0.7973040008627198,0.7922930371328948,-0.005010963729825013,50000,489,True,True,,
NSW,nsw52,sr,186,1.0,po_random_5fold,maxnet_bg10k,0.7897695819404005,0.7932851648154139,0.003515582875013412,50000,489,True,True,,
NSW,nsw52,sr,186,1.0,po_random_5fold,maxnet_bg50k,0.7906251123332974,0.7932851648154139,0.0026600524821165372,50000,489,True,True,,
