model,n_paired,mean_auc_random,mean_auc_tgb,mean_delta_tgb_minus_random,ci_lo,ci_hi
additive_kan_bce,12,0.6564534200850939,0.6468740267795611,-0.009579393305532813,-0.05064032099933348,0.02955967104870392
additive_kan_ipp,12,0.6532046018104806,0.6521788262355073,-0.0010257755749733949,-0.043197923078582515,0.04317729937779625
gam_ipp_same_basis,12,0.6531804950779595,0.6517353619885174,-0.0014451330894421587,-0.04363926333498625,0.04290436205199427
maxnet_bg10k,5,0.6310539770097057,0.6920022889810948,0.06094831197138926,0.010502009624496633,0.11348718122151184
maxnet_bg50k,5,0.6363474500222158,0.6920022889810948,0.05565483895887917,0.00711986304704233,0.10662345897854783
