region,species_id,additive_kan_ipp,gam_ipp_same_basis,maxnet_bg10k,maxnet_bg50k,e2e_cor
AWT,awt01,0.1110322092031107,0.1097689721766391,0.044734831076665,0.0553496305314963,0.0491606011389036
AWT,awt02,0.3940149716073048,0.3952552091603731,0.5131849195851613,0.5127794647779239,0.2656215248711422
AWT,awt03,0.10505302315095,0.1284020632051263,0.0984965148999489,0.1014581838773085,0.0374159937845341
AWT,awt04,-0.02857197987811,-0.0285381998473791,-0.0129058331771645,-0.0037888268973259,-0.098511758037289
AWT,awt05,0.1695528639684896,0.1562926642204395,0.2131968759087093,0.2125796084528379,0.2269568099519183
AWT,awt06,0.3207054397477581,0.3197606581300957,0.4526544680795097,0.4547929548658086,0.3098602103439692
AWT,awt07,0.0458466440622499,0.0484852631780803,0.0319425388950687,0.0348203826029729,0.0950638382528464
AWT,awt08,0.2667377540477443,0.2552159596767068,0.293562186992574,0.2951629969413156,0.2249118629927015
AWT,awt09,0.2518152041612884,0.2518134027313082,0.2310188321330016,0.2352408726367331,0.1155286311611145
AWT,awt10,0.2561618219709586,0.2691792310229065,0.282854385999271,0.2811783911541782,0.1972376430231098
AWT,awt11,0.0289548300021194,0.0341801371653573,-0.0112772672761713,-0.0101255682109475,-0.0409589594962479
AWT,awt12,0.2212944631063741,0.2212917535906702,0.2327739262637342,0.2328132902520883,0.1569814501500868
AWT,awt13,0.2721672856516387,0.2189158462434648,0.2926899351655521,0.287538478171465,0.3292456984034887
AWT,awt14,0.3527961952445047,0.3361105245722096,0.4657853945766455,0.4659273454860149,0.254977953244321
AWT,awt15,0.4785186740553214,0.4787034437218765,0.5041007754577727,0.5025811338379028,0.4568129506069689
AWT,awt16,0.2329584098150647,0.2331362286194619,0.2168539553036843,0.2118081461282795,0.1397805287120115
AWT,awt17,0.4099949407416502,0.3007743640383107,0.3595612214131974,0.3454167778927031,0.3277587784410228
AWT,awt18,0.1777040229511953,0.1821107903636292,0.0709911767706683,0.0789051972052003,0.1659632353973209
AWT,awt19,0.1802822885424069,0.1474543930272787,0.2061281083209147,0.2037300017121156,0.1665568823547843
AWT,awt20,-0.0019013084491659,-0.0019002794092214,-0.0516670207239595,-0.0654525311896523,0.0868746175428855
AWT,awt21,0.1117037713566661,0.1115246610282417,0.1535134221362576,0.1611755992692222,0.1523256110875154
AWT,awt22,0.2657741854892602,0.2657935885558904,0.3650197776709428,0.365290834349764,0.1792164086478137
AWT,awt23,0.2910735911936755,0.2910916142837966,0.2832582791993754,0.2796672927748106,0.1270960838941763
AWT,awt24,0.0458078707048874,0.0457863840134631,0.2509360892254725,0.2486281447083402,0.0515560211552513
AWT,awt25,0.0209665834960369,0.0205805513668836,0.0173844682159582,0.0167867236469797,0.080314122434013
AWT,awt26,0.2693933535801062,0.2694044564726248,0.2808712060613376,0.2807302377209737,-0.1715243814240786
AWT,awt27,0.3024457222757544,0.3025562209971148,0.3378519151526772,0.3350144423964567,0.0508801802549335
AWT,awt28,0.3674493710992897,0.3676002236668313,0.4676724729174114,0.467761284256119,0.1027601664078528
AWT,awt29,0.37728724882487,0.3784783202606281,0.3715341911088594,0.3713021860222314,0.1147393896598447
AWT,awt30,0.2904235099713961,0.2904451200531403,0.2882343520440283,0.2869155884866028,0.0871683980421035
AWT,awt31,0.3552889555455392,0.3549768716074683,0.3273076118844468,0.3238022568107263,0.1907451250846042
AWT,awt32,0.2704752893107677,0.2501627480561192,0.174866781800128,0.1753959543732179,0.1103552067302715
AWT,awt33,0.2436820473901586,0.2419154043900762,0.1407636188194554,0.1457560191469802,0.107878333229501
AWT,awt34,0.4659651848498942,0.4659107232426622,0.4076002934990234,0.4104722414040149,0.3150219856864431
AWT,awt35,0.3262519842197817,0.3263034459147163,0.2918402133400192,0.2897015205581624,0.1026316648906557
AWT,awt36,-0.1164061925480674,-0.1163987867464182,-0.175790979948325,-0.1740041812736828,0.2763357242251128
AWT,awt37,0.4448579652320532,0.4449575333045519,0.4521812988428011,0.454226625457395,0.1594111335783824
AWT,awt38,0.3712716272779146,0.3713284804668657,0.4218414311322102,0.4333799593433473,0.1722633758343369
AWT,awt39,0.3670354394877319,0.3672372318309441,0.430731842852853,0.4363687921720389,0.1151370028181711
AWT,awt40,0.4331676760179062,0.4331676729825138,0.4369725075446168,0.4361962291496373,-0.0244241478933749
CAN,can01,0.1179929922006274,0.1193072732857117,0.1017605700436504,0.1010018023753094,0.0082713692176403
CAN,can02,0.2248876925476467,0.2256190702520556,0.2190353992681344,0.2135574929615363,0.2516528847972116
CAN,can03,-0.0402373197912039,-0.0402371252861177,-0.0402586632921452,-0.0395232136495096,-0.002342920345139
CAN,can04,0.0227148193849201,0.0237596526116028,-0.0087917737992516,-0.002874281484546,0.0134340386371891
CAN,can05,0.0869496026665926,0.0832287584659727,0.0944030908557525,0.0927461693700489,0.0695062172744356
CAN,can06,0.0536123133684782,0.0538816417808725,0.0673775258624163,0.0672232854057875,0.0781490274924696
CAN,can07,0.0684011570348957,0.0673455319549886,0.0639314862553684,0.0625349348445079,0.0847064412474667
CAN,can08,0.0774140184104997,0.071500630237559,0.0860620567682061,0.0862985789069658,0.0777519890814368
CAN,can09,0.0511366312072754,0.0511120948894176,0.0488417932009452,0.0485728925318593,0.0781892826185348
CAN,can10,0.1287092806394311,0.1257464720527601,0.1380154023135141,0.1323604051743553,0.1440898570763333
CAN,can11,0.1539121272195899,0.1512294249733925,0.1867789233054359,0.1822432120453855,0.1322533299923404
CAN,can12,0.0562239320935785,0.0562125409484604,-0.0545762308743727,-0.0630656186824753,0.0324932924153473
CAN,can13,-0.1116067607486803,-0.1116066513963012,-0.1126846016242924,-0.1121095640482632,0.0034600041925931
CAN,can14,-0.0754330260469402,-0.0750138232475747,-0.1179635870786583,-0.1163973230096161,0.0027670934729845
CAN,can15,0.2203074604085667,0.2205742628095577,0.234348249798514,0.2363172876229599,0.204446049328403
CAN,can16,-0.0209640811473485,-0.0228489294416798,-0.0175865103482273,-0.0159392148762339,0.0326836810622118
CAN,can17,0.0091102756646111,0.0135816342278585,-0.0793629588765159,-0.074844116180937,-0.0567554985399998
