species,B-spline IPP,same-basis GAM-IPP,maxnet
can01,0.734843698365586,0.7348405150329096,0.6695720388184682
can02,0.7028290176551696,0.7028361210197559,0.707400322859681
can03,0.4574404741146046,0.4574411408357031,0.4602677818619858
can04,0.5825983373467215,0.5832536505244648,0.4427758107214311
can05,0.6314697688037998,0.6314120235803762,0.6301468390841719
can06,0.8841522690115329,0.8841561678800811,0.8883708447808446
can07,0.6622253311043871,0.6622409387896114,0.6587635887045915
can08,0.5398029693554295,0.5396007338246918,0.5380771319149483
can09,0.7018689344365605,0.7018610570814442,0.6999085375200553
can10,0.6685819512558122,0.6686461041377109,0.6772134244556307
can11,0.5986135149250627,0.5986152224922603,0.6012407888317085
can12,0.5341860275370506,0.5343429627255505,0.511525718437191
can13,0.3654907438546393,0.3654902030196294,0.3582614514438328
can14,0.3891702244019476,0.3892803965845741,0.3017324994707501
can15,0.6843092022853609,0.6843197815994377,0.6958828287282062
can16,0.5253882714925698,0.5252839332412789,0.5023306279386758
can17,0.4796498670636515,0.479027250677665,0.3872319258161708
can18,0.7808776705012326,0.7809830634399246,0.7924747422872936
can19,0.4803009211521276,0.4802235856190279,0.5015080428954424
can20,0.6264315621475999,0.626537174727581,0.6007668865100315
