region,species_id,taxon_group,n_presence,lambda_s,lambda_selection,model,auc_random,auc_tgb,delta_tgb_minus_random,n_bg_random,n_bg_tgb,converged_random,converged_tgb,skip_random,skip_tgb
NSW,nsw43,ru,42,0.100000,po_random_5fold,additive_kan_bce,0.646692,0.577501,-0.069191,50000,68,True,True,,
NSW,nsw43,ru,42,0.100000,po_random_5fold,additive_kan_ipp,0.660928,0.594296,-0.066632,50000,68,True,True,,
NSW,nsw43,ru,42,0.100000,po_random_5fold,gam_ipp_same_basis,0.661008,0.594283,-0.066725,50000,68,True,True,,
NSW,nsw43,ru,42,0.100000,po_random_5fold,maxnet_bg10k,0.687737,,,50000,68,True,False,,
NSW,nsw43,ru,42,0.100000,po_random_5fold,maxnet_bg50k,0.689628,,,50000,68,True,False,,
NSW,nsw52,sr,186,1.000000,po_random_5fold,additive_kan_bce,0.809023,0.784852,-0.024171,50000,489,True,True,,
NSW,nsw52,sr,186,1.000000,po_random_5fold,additive_kan_ipp,0.797311,0.792300,-0.005011,50000,489,True,True,,
NSW,nsw52,sr,186,1.000000,po_random_5fold,gam_ipp_same_basis,0.797304,0.792293,-0.005011,50000,489,True,True,,
NSW,nsw52,sr,186,1.000000,po_random_5fold,maxnet_bg10k,0.789770,0.793285,0.003516,50000,489,True,True,,
NSW,nsw52,sr,186,1.000000,po_random_5fold,maxnet_bg50k,0.790625,0.793285,0.002660,50000,489,True,True,,
