pearson_r,argmax_abs_delta,max_abs_delta,argmax_x_a,argmax_x_b,region,species_id,feature,kan_monotonicity,kan_n_local_extrema,kan_argmax_x,kan_argmin_x,kan_phi_range,kan_roughness_l2,kan_phi_mean,kan_phi_std,kan_region,kan_species_id,kan_feature,kan_model
0.9999994812937371,0.0,0.1707672144228951,-3.0614806535654404,-3.0614806535654404,AWT,awt26,bc04,1.0,0.0,-3.0614806535654404,2.4733377728219,83.22115070419734,0.04076949857004525,1.299846750179001,22.26010005391453,AWT,awt26,bc04,kan_ipp
0.9999447833158097,0.0,1.2405918867637595,1.7949803705135987,1.7949803705135987,AWT,awt26,bc05,1.0,0.0,1.7949803705135987,-4.233370177691172,32.124410414113356,0.02690750032333053,-5.328540640764519,8.083814771074218,AWT,awt26,bc05,kan_ipp
0.9999880966925253,0.0,0.2285843863880217,-2.253570702420432,-2.253570702420432,AWT,awt26,bc06,1.0,0.0,-2.253570702420432,2.7243254011974183,62.434155454787394,0.03182042667306396,-2.044177556401257,15.255003283584808,AWT,awt26,bc06,kan_ipp
0.9999889054377982,0.0,1.1572863529486916,6.440780502913554,6.440780502913554,AWT,awt26,bc12,1.0,0.0,6.440780502913554,-1.6627105405346987,23.908065595894904,0.023517845806887382,4.9934711228289395,5.921113996380964,AWT,awt26,bc12,kan_ipp
0.9995130309272577,0.0,0.388504643242392,-2.343325474768742,-2.343325474768742,AWT,awt26,bc15,0.7777777777777778,2.0,-2.343325474768742,2.282097885068282,16.651377230060827,0.02804290480858576,-0.6975342883396652,3.2425491806383633,AWT,awt26,bc15,kan_ipp
0.9997842493370868,0.0,0.5126569080639678,-0.967666112708852,-0.967666112708852,AWT,awt26,slope,0.9393939393939394,2.0,-0.967666112708852,6.541983082441666,5.710460816731344,0.005314016278933374,-1.0435494075433551,1.3710055644989867,AWT,awt26,slope,kan_ipp
0.9999989699068839,0.0,0.004848340296735643,-0.17079750736069044,-0.17079750736069044,AWT,awt26,topo,0.5252525252525253,4.0,-0.17079750736069044,-1.1000539966123792,2.0046244595504836,0.022685639835991055,-0.032225673379661784,0.5314331084818092,AWT,awt26,topo,kan_ipp
0.9999807477687336,0.06774108209718399,0.4407177772818418,1.5342125829497086,1.4664715008525246,AWT,awt26,tri,0.7070707070707071,3.0,1.5342125829497086,5.598677508780754,13.742446483513199,0.01199563369353971,-2.297220180423917,3.613436093868395,AWT,awt26,tri,kan_ipp
0.9998142060177653,0.0,0.6885665615391199,-3.0623490504122755,-3.0623490504122755,AWT,awt29,bc04,0.9292929292929293,2.0,-3.0623490504122755,2.4735782487909144,23.32432039524001,0.012531069759715468,2.6701700435690245,7.1382827019898265,AWT,awt29,bc04,kan_ipp
0.990700004439745,1.8261196334186085,1.294677437930226,-2.405136017949463,-4.2312556513680715,AWT,awt29,bc05,0.5454545454545454,3.0,-2.405136017949463,1.7949391389133342,9.98010872980208,0.019500540103883083,0.39204112466690916,1.958723973835509,AWT,awt29,bc05,kan_ipp
0.9999281705169581,0.0,0.507421683642189,-1.9009257687078616,-1.9009257687078616,AWT,awt29,bc06,0.9292929292929293,1.0,-1.9009257687078616,2.724738983341452,35.93489560815255,0.03280001911801075,-2.868846501684997,8.808831469078356,AWT,awt29,bc06,kan_ipp
