species_id,ours_auc,ours_auprc,ours_prg,converged,valavi_auc,valavi_auprc,n_eval,n_pos,ok,delta_auc
can01,0.6695720388184682,0.0221230411658411,0.2513078228350945,True,0.6940576274166801,0.024480131111842933,14571,230,True,-0.024485588598211927
can02,0.707400322859681,0.2915692556769684,0.4391780287700572,True,0.705305049836767,0.2878938354255716,14571,2682,True,0.0020952730229140126
can03,0.4602677818619858,0.0451600941113589,-0.0670447364659617,True,0.46947171276752436,0.04608556100929518,14571,703,True,-0.00920393090553856
can04,0.4427758107214311,0.0667931133171546,-0.0729026621211746,True,0.5400290153627028,0.08846410956854436,14571,887,True,-0.09725320464127168
can05,0.6301468390841719,0.0768479962770561,0.2723916980617983,True,0.6344807020716798,0.07972873837289694,14571,846,True,-0.00433386298750793
can06,0.8883708447808446,0.0244367314939065,0.795351978145046,True,0.8897861340638946,0.022486605287190653,14571,53,True,-0.0014152892830500141
can07,0.6587635887045915,0.0330399830760495,0.3157759327818145,True,0.6633336876699708,0.03507382283183453,14571,333,True,-0.004570098965379299
can08,0.5380771319149483,0.1918768040073616,0.0696623950063141,True,0.5416434106783702,0.19467765406408655,14571,2600,True,-0.0035662787634218596
can09,0.6999085375200553,0.0214966538705041,0.4526386720722852,True,0.6866673422740605,0.020368954243018326,14571,163,True,0.013241195245994875
can10,0.6772134244556307,0.1212401094331029,0.3409858706822988,True,0.6649970113998891,0.1183603344489631,14571,1251,True,0.012216413055741615
can11,0.6012407888317085,0.3526428738750312,0.2173826162764783,True,0.5967802267155696,0.35132667240549503,14571,4512,True,0.0044605621161388775
can12,0.511525718437191,0.1473411817159883,0.0650267299802263,True,0.5106726468603008,0.1424186397988397,14571,2045,True,0.0008530715768901853
can13,0.3582614514438328,0.035961747537266,-0.4334001223031789,True,0.35106224912630557,0.03562636409742586,14571,735,True,0.007199202317527242
can14,0.3017324994707501,0.0181241494797166,-0.5702061637919044,True,0.3470091207395385,0.02109411095480285,14571,400,True,-0.0452766212687884
can15,0.6958828287282062,0.317839566056139,0.4138153383906149,True,0.6842118983641431,0.3052616765316225,14571,3025,True,0.011670930364063081
can16,0.5023306279386758,0.0213985729746848,-0.0414748144147932,True,0.5176723468114675,0.023309141222736106,14571,316,True,-0.015341718872791676
can17,0.3872319258161708,0.1491694025245204,-0.2684732188285343,True,0.4595974758207839,0.17011223173079118,14571,2758,True,-0.07236555000461314
can18,0.7924747422872936,0.2405183918786357,0.637498383071196,True,0.7824286280659535,0.21819533912142813,14571,1184,True,0.010046114221340163
can19,0.5015080428954424,0.0016951840604526,-0.0998878956673765,True,0.49397212483673614,0.0015784011114092816,14571,24,True,0.007535918058706237
can20,0.6007668865100315,0.0813705981456199,0.2435711046789042,True,0.6115198026862273,0.08461354592005124,14571,893,True,-0.010752916176195781
