region,taxon_group,species_id,split_id,seed,estimand,n_presence,n_PA_test,categorical_encoding,lambda_s,lambda_r,lambda_kan,lambda_selection,basis_df,knots,background_scheme,integration_support,objective,protocol,model,n_background,converged,runtime_s,auc_roc,auprc,prg,artifact_path,skip_reason,optimizer,train_steps,final_loss,hidden_width,kan_input,steps_adam,steps_lbfgs,architecture
CAN,bird,can01,pa_holdout,0,global_conditional_density,16,14571,onehot_l2,0.01,1e-06,0.0001,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,standard_kan_e2e_can20,additive_kan_ipp,50000,True,3.9800650109973503,0.734843698365586,0.02839225511098724,0.44058863163504186,,,lbfgs,15.0,,,n/a_additive_edges,,,
CAN,bird,can01,pa_holdout,0,global_conditional_density,16,14571,onehot_l2,0.01,1e-06,0.0001,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,standard_kan_e2e_can20,standard_kan_ipp,50000,True,82.31092504499247,0.4850008943648948,0.017769087374724844,0.05092183209618714,,,adam_then_lbfgs,,44.46128156209076,4.0,continuous_z,225.0,15.0,"pykan_[6,4,1]"
CAN,bird,can02,pa_holdout,0,global_conditional_density,740,14571,onehot_l2,0.01,1e-06,0.0001,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,standard_kan_e2e_can20,additive_kan_ipp,50000,True,3.649644469987834,0.703182116029901,0.2852599686179044,0.42797652656849905,,,lbfgs,15.0,,,n/a_additive_edges,,,
CAN,bird,can02,pa_holdout,0,global_conditional_density,740,14571,onehot_l2,0.01,1e-06,0.0001,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,standard_kan_e2e_can20,standard_kan_ipp,50000,True,44.56221316399751,0.6907793592094008,0.27645668173162297,0.4024960685351543,,,adam_then_lbfgs,,5849.220986851852,4.0,continuous_z,80.0,10.0,"pykan_[6,4,1]"
CAN,bird,can03,pa_holdout,0,global_conditional_density,165,14571,onehot_l2,0.01,1e-06,0.0001,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,standard_kan_e2e_can20,additive_kan_ipp,50000,True,2.3465519010060234,0.4815333128735433,0.048596758492107275,-0.012117588874473152,,,lbfgs,15.0,,,n/a_additive_edges,,,
CAN,bird,can03,pa_holdout,0,global_conditional_density,165,14571,onehot_l2,0.01,1e-06,0.0001,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,standard_kan_e2e_can20,standard_kan_ipp,50000,True,35.83263677099603,0.4939324790003369,0.05331103237519252,0.032514279389529194,,,adam_then_lbfgs,,1305.4505684773285,4.0,continuous_z,80.0,10.0,"pykan_[6,4,1]"
CAN,bird,can04,pa_holdout,0,global_conditional_density,42,14571,onehot_l2,0.01,1e-06,0.0001,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,standard_kan_e2e_can20,additive_kan_ipp,50000,True,2.3501538209966384,0.5666353565269489,0.08870403931243176,0.22542782052690735,,,lbfgs,15.0,,,n/a_additive_edges,,,
CAN,bird,can04,pa_holdout,0,global_conditional_density,42,14571,onehot_l2,0.01,1e-06,0.0001,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,standard_kan_e2e_can20,standard_kan_ipp,50000,True,48.72991155499767,0.5102471982354494,0.07411237671855289,0.07103220262948552,,,adam_then_lbfgs,,166.53258463981308,4.0,continuous_z,150.0,10.0,"pykan_[6,4,1]"
CAN,bird,can05,pa_holdout,0,global_conditional_density,138,14571,onehot_l2,0.01,1e-06,0.0001,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,standard_kan_e2e_can20,additive_kan_ipp,50000,True,2.394025228000828,0.63140474621814,0.07953221505551478,0.2932624669042944,,,lbfgs,15.0,,,n/a_additive_edges,,,
CAN,bird,can05,pa_holdout,0,global_conditional_density,138,14571,onehot_l2,0.01,1e-06,0.0001,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,standard_kan_e2e_can20,standard_kan_ipp,50000,True,35.780895634990884,0.588755700241574,0.07298646325870833,0.21042261441318744,,,adam_then_lbfgs,,949.5017828190291,4.0,continuous_z,80.0,10.0,"pykan_[6,4,1]"
