region,species_id,seed,auc_additive,auc_standard_kan,converged_additive,converged_standard_kan,delta_auc
CAN,can01,0,0.734843698365586,0.4850008943648948,True,True,-0.24984280400069125
CAN,can02,0,0.703182116029901,0.6907793592094008,True,True,-0.012402756820500183
CAN,can03,0,0.4815333128735433,0.4939324790003369,True,True,0.012399166126793593
CAN,can04,0,0.5666353565269489,0.5102471982354494,True,True,-0.05638815829149946
CAN,can05,0,0.63140474621814,0.588755700241574,True,True,-0.04264904597656605
CAN,can06,0,0.8841522690115329,0.8136854184915536,True,True,-0.07046685051997925
CAN,can07,0,0.6681379019137131,0.6501338042635978,True,True,-0.018004097650115347
CAN,can08,0,0.5416815155857425,0.5413815117302712,True,True,-0.00030000385547135355
CAN,can09,0,0.7127443683297963,0.7200524248628064,True,True,0.007308056533010143
CAN,can10,0,0.6697295616959885,0.6386889287368904,True,True,-0.03104063295909809
CAN,can11,0,0.5954974802036778,0.5697632527485001,True,True,-0.025734227455177616
CAN,can12,0,0.5300755748336858,0.5269050155627395,True,True,-0.003170559270946338
CAN,can13,0,0.3832934590430563,0.5014349336149608,True,True,0.11814147457190455
CAN,can14,0,0.3891702244019476,0.5001031155176063,True,True,0.11093289111565874
CAN,can15,0,0.6810381757196868,0.647877108168118,True,True,-0.03316106755156878
CAN,can16,0,0.4970588822931328,0.5637225890094082,True,True,0.06666370671627542
CAN,can17,0,0.47040236395947066,0.4721739584964562,True,True,0.0017715945369855546
CAN,can18,0,0.7808776705012326,0.7355585806823481,True,True,-0.04531908981888444
CAN,can19,0,0.46410342338626515,0.5777608785316559,True,True,0.11365745514539077
CAN,can20,0,0.6239511401819516,0.5811507006371304,True,True,-0.04280043954482127
