region,taxon_group,species_id,split_id,seed,estimand,n_presence,n_PA_test,categorical_encoding,weight_decay,lambda_r,basis_df,knots,background_scheme,n_background,integration_support,model,objective,lambda_s,lambda_selection,converged,runtime_s,auc_roc,auprc,prg,artifact_path,skip_reason,maxnet_bg_n,pos_weight
AWT,bird,awt06,pa_holdout,0,global_conditional_density,265,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,3.1879,0.643633567509,0.6194564974522871,0.3180114593667326,,,,
AWT,bird,awt06,pa_holdout,0,global_conditional_density,265,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,3.1142,0.6319247841739191,0.6190946492124925,0.2752735990609887,,,,188.67924528301887
AWT,bird,awt07,pa_holdout,0,global_conditional_density,158,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,3.7935,0.5030268363601696,0.24468473986972628,0.011725985704921383,,,10000.0,
AWT,bird,awt07,pa_holdout,0,global_conditional_density,158,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,2.9612,0.4987368320701654,0.23248894465978087,0.01275903339604365,,,,
AWT,bird,awt07,pa_holdout,0,global_conditional_density,158,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,3.2215,0.49878449878449876,0.23249202378681275,0.015156496290431929,,,,
AWT,bird,awt07,pa_holdout,0,global_conditional_density,158,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,3.019,0.5051241717908385,0.22956989507495118,0.04236092206401027,,,,316.45569620253167
AWT,bird,awt08,pa_holdout,0,global_conditional_density,231,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,4.9507,0.6652763295099061,0.576275395253695,0.303909419975811,,,10000.0,
AWT,bird,awt08,pa_holdout,0,global_conditional_density,231,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,2.9617,0.7595915285318758,0.6336878129284808,0.5381124441709881,,,,
AWT,bird,awt08,pa_holdout,0,global_conditional_density,231,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,3.1777,0.7588364316277733,0.6337842317895008,0.536649955637162,,,,
AWT,bird,awt08,pa_holdout,0,global_conditional_density,231,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,3.0445,0.7273740606234943,0.6473840501242702,0.4557864336045816,,,,216.45021645021646
