region,species_id,n_seed,auc_additive,auc_deep2,delta_auc,delta_sd
AWT,awt01,3,0.5368600981767181,0.5703745909303413,0.03351449275362325,0.0035347759115507303
AWT,awt02,3,0.7547450185748058,0.8617629179331306,0.1070178993583248,0.009623683213547314
AWT,awt03,3,0.5283809103934751,0.5184613688967266,-0.009919541496748563,0.0015004649587906224
AWT,awt04,3,0.46464505958176844,0.4660476654147539,0.0014026058329855151,0.0006683143369684834
AWT,awt05,3,0.7326265340207683,0.7065088470941351,-0.0261176869266333,0.0005151840014957644
AWT,awt06,3,0.6439597823680868,0.6319131336432374,-0.01204664872484936,0.004149143126440731
AWT,awt07,3,0.4986256097367208,0.5059821726488393,0.0073565629121184846,0.0014655738351176673
AWT,awt08,3,0.7591720302518188,0.7608620090371915,0.0016899787853727293,0.0018288648342065451
AWT,awt09,3,0.7207926648920439,0.7072611653356994,-0.013531499556344325,0.001385314551552472
AWT,awt10,3,0.6833498105124401,0.6705799967045643,-0.01276981380787597,0.0012849294744177323
AWT,awt11,3,0.3984944718889673,0.46969340547322197,0.07119893358425466,0.006654943116982305
AWT,awt12,3,0.8323045267489713,0.8177083333333334,-0.014596193415637893,0.0022357688594025556
AWT,awt13,3,0.7471576866040534,0.7481875102982368,0.0010298236941835477,0.0009651816208486103
AWT,awt14,3,0.8035617715617716,0.8276363636363637,0.0240745920745921,0.003255508265519443
AWT,awt15,3,0.7712629184591803,0.7832294911734164,0.011966572714236179,0.0029679231104609224
AWT,awt16,3,0.6716485507246377,0.6542685688405797,-0.017379981884057982,0.000408237236805337
AWT,awt17,3,0.8017560389441919,0.7900126991929867,-0.011743339751205117,0.001052679195019117
AWT,awt18,3,0.6003979240827969,0.5957954286673139,-0.004602495415483039,0.004302386353927132
AWT,awt19,3,0.6595712560386473,0.6594957729468599,-7.548309178747233e-05,0.005394929234474412
AWT,awt20,3,0.5515865384615385,0.5570673076923076,0.00548076923076916,0.002662524133846219
AWT,awt21,3,0.5699186991869918,0.6321138211382115,0.06219512195121957,0.0165983629131905
AWT,awt22,3,0.6732542819499341,0.6537842190016103,-0.019470062948323763,0.013952572165063865
AWT,awt23,3,0.6482122260668973,0.6382641291810841,-0.009948096885813218,0.00384437474797387
AWT,awt24,3,0.49711934156378595,0.5960493827160493,0.09893004115226338,0.012119743298238657
AWT,awt25,3,0.5222578347578347,0.48860398860398857,-0.0336538461538462,0.004564104564806413
AWT,awt26,3,0.6911337209302325,0.6770833333333334,-0.014050387596899213,0.001828932760482288
AWT,awt27,3,0.7254320987654319,0.7063374485596707,-0.01909465020576114,0.0033614119928661954
AWT,awt28,3,0.7930194805194805,0.7489177489177489,-0.04410173160173155,0.016036408563568624
AWT,awt29,3,0.8357598978288633,0.8280970625798213,-0.007662835249042099,0.009783253130117815
AWT,awt30,3,0.5802957107304932,0.5841018884497146,0.0038061777192213153,0.006948583976756456
AWT,awt31,3,0.6922043010752689,0.7327956989247312,0.040591397849462384,0.004441589151037255
AWT,awt32,3,0.567398119122257,0.5943051201671891,0.026907001044932117,0.00294104760950825
AWT,awt33,3,0.701388888888889,0.6766381766381766,-0.024750712250712237,0.0020224032570513332
AWT,awt34,3,0.8973180076628354,0.8978288633461048,0.0005108556832693992,0.00521598412686139
AWT,awt35,3,0.6611538461538462,0.6653846153846154,0.004230769230769186,0.0042828956637154325
AWT,awt36,3,0.4038190439574522,0.4218890170447264,0.018069973087274205,0.0013862173300515264
AWT,awt37,3,0.8338232412306487,0.7634724671761709,-0.07035077405447776,0.000339418147671727
AWT,awt38,3,0.7572674418604651,0.7424903100775193,-0.014777131782945782,0.008670315003959986
AWT,awt39,3,0.7575892857142857,0.7607142857142858,0.0031250000000001554,0.0008928571428571397
AWT,awt40,3,0.7525984482506222,0.7713365539452496,0.018738105694627416,0.0017749020133189367
CAN,can01,3,0.7348503682054797,0.6937748666284667,-0.04107550157701293,0.00218890645915886
CAN,can02,3,0.7031051864346246,0.7038541810863922,0.0007489946517675131,0.0002566135041547235
CAN,can03,3,0.48144157888856015,0.47241311529980634,-0.00902846358875383,0.0029203277317735323
CAN,can04,3,0.5666688334678452,0.5633577195958249,-0.0033111138720203956,0.002595409401794091
CAN,can05,3,0.6314212530555592,0.6285967465741136,-0.00282450648144561,0.0008250177805411774
CAN,can06,3,0.8841496697658339,0.8857590360610684,0.00160936629523456,8.003327522470861e-05
CAN,can07,3,0.6681262313022391,0.6623444275853322,-0.00578180371690699,0.00019291959862234551
CAN,can08,3,0.5417569114676709,0.5439765598058557,0.0022196483381848133,0.000706883916248623
CAN,can09,3,0.7125348732640012,0.7109391056320676,-0.0015957676319336238,0.00027298199887193844
CAN,can10,3,0.6696653287980228,0.6629889281767779,-0.006676400621244786,0.0006480747671591063
CAN,can11,3,0.5954992575424382,0.5968464289122076,0.0013471713697693621,0.00011202888235369237
CAN,can12,3,0.5300783075359731,0.5160304220034065,-0.01404788553256664,0.0012923596893866514
CAN,can13,3,0.38329260681819216,0.44377493986898026,0.06048233305078802,0.0011882415100594875
CAN,can14,3,0.3891945110907251,0.5086093371439324,0.11941482605320729,0.007599905583764572
CAN,can15,3,0.6810321344875617,0.6788981861510718,-0.0021339483364899436,0.00016994273476515553
CAN,can16,3,0.49709736164821877,0.497334231678277,0.00023687003005830784,0.00010208063870956752
CAN,can17,3,0.47040090090560166,0.47698767173515594,0.006586770829554241,0.0025367029247640063
CAN,can18,3,0.780948142762543,0.7759054539431491,-0.005042688819393737,0.00024410107233425907
CAN,can19,3,0.4641120162232762,0.4620821971693285,-0.0020298190539477234,0.001065590066523696
CAN,can20,3,0.6239589451426427,0.6173134850453952,-0.006645460097247535,0.0017408282049827415
NSW,nsw01,3,0.7016172839506173,0.6607098765432098,-0.04090740740740747,0.0038198007690131218
NSW,nsw02,3,0.7252084021129086,0.6655627544844283,-0.05964564762848027,0.0006674454464596959
NSW,nsw03,3,0.7258507531731575,0.7179576141324775,-0.007893139040680045,0.004401462210552653
NSW,nsw04,3,0.8494623655913979,0.8759956192751891,0.026533253683791336,0.002527088838410448
NSW,nsw05,3,0.5531603773584907,0.5410062893081761,-0.012154088050314482,0.003172790790496747
NSW,nsw06,3,0.4939752901257713,0.5105796960565114,0.01660440593074018,0.0010558194590522582
NSW,nsw07,3,0.7423378269385874,0.7492078580481621,0.006870031109574848,0.004214914759162514
NSW,nsw08,3,0.8614369501466275,0.8590664711632453,-0.0023704789833821995,0.001707335139267662
NSW,nsw09,3,0.5860225108225108,0.6082978354978356,0.02227532467532467,0.0005509433177585159
NSW,nsw10,3,0.9633620689655172,0.9584131545338441,-0.004948914431673113,0.001797306872477233
NSW,nsw11,3,0.5545452210320824,0.535049189591842,-0.019496031440240407,0.004820372712655803
NSW,nsw12,3,0.6636671239140375,0.6742935528120713,0.01062642889803378,0.0016056611068085071
NSW,nsw13,3,0.8100640078778927,0.8314918759231906,0.02142786804529795,0.002414754013970363
NSW,nsw14,3,0.6492883740332105,0.6621776252090484,0.01288925117583802,0.0006336735360402725
NSW,nsw15,3,0.7842837150305871,0.7847564486007554,0.0004727335701682674,0.0010651575075198768
NSW,nsw16,3,0.6463419209898084,0.6459291881827093,-0.000412732807099007,0.001374846785662216
NSW,nsw17,3,0.536543336466433,0.5644136831011992,0.0278703466347661,0.0011168579229310874
NSW,nsw18,3,0.6411866370123251,0.637636456306181,-0.0035501807061440647,0.002162379698605288
NSW,nsw19,3,0.9619597134132016,0.9730297157622741,0.01107000234907233,0.0006884762795215143
NSW,nsw20,3,0.6513451626307366,0.7130776507616546,0.061732488130917994,0.01287122191664858
NSW,nsw21,3,0.9026657468336517,0.8996527040732093,-0.0030130427604424894,0.003566386086982662
NSW,nsw22,3,0.8683387270765911,0.826569579288026,-0.041769147788565254,0.008745671528925587
NSW,nsw23,3,0.7601680599094393,0.7194474921630093,-0.04072056774642977,0.00732484651207173
NSW,nsw24,3,0.7041497099150055,0.692772400156347,-0.011377309758658471,0.005493707716019863
NSW,nsw25,3,0.6489058874318709,0.6646227942366845,0.015716906804813486,0.003184392436491194
NSW,nsw26,3,0.6730670762928828,0.6526589130275767,-0.020408163265306072,0.018656494454099122
NSW,nsw27,3,0.5409002635594397,0.5456703426272714,0.004770079067831889,0.0010322686061375438
NSW,nsw28,3,0.6747920260874111,0.6452909347553325,-0.02950109133207864,0.0013514105539153933
NSW,nsw29,3,0.730269386349944,0.5705453710875864,-0.1597240152623576,0.002518929765065644
NSW,nsw31,3,0.5457581643197749,0.5291602858601326,-0.016597878459642224,0.001561350439334072
NSW,nsw32,3,0.7684419957147229,0.7623319441501261,-0.006110051564597059,0.0013751446163686619
