region,taxon_group,species_id,split_id,seed,estimand,n_presence,n_PA_test,categorical_encoding,weight_decay,lambda_s,lambda_r,lambda_selection,basis_df,knots,background_scheme,integration_support,objective,model,n_background,converged,runtime_s,auc_roc,auprc,prg,artifact_path,skip_reason,optimizer,train_steps,steps_adam,final_loss,deep_lr,residual,disable_silu,warm_start,freeze_edges
AWT,bird,awt03,pa_holdout,2,global_conditional_density,219,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,29.74171413099976,0.5287483008192806,0.3899479559165132,0.0685828098543691,,,lbfgs,15.0,,,,,,,
AWT,bird,awt03,pa_holdout,2,global_conditional_density,219,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,71.8360698010074,0.5171387633638268,0.3814217269668044,0.0366375474999148,,,lbfgs,12.0,0.0,2095.279079723473,0.05,True,True,True,True
AWT,bird,awt04,pa_holdout,0,global_conditional_density,216,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,28.74244214799546,0.4647030185004869,0.4525546510353332,-0.0430997593838635,,,lbfgs,15.0,,,,,,,
AWT,bird,awt04,pa_holdout,0,global_conditional_density,216,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,69.09239410700684,0.4668243149255807,0.4537823851295461,-0.0464565530201946,,,lbfgs,12.0,0.0,2070.867767230284,0.05,True,True,True,True
AWT,bird,awt04,pa_holdout,1,global_conditional_density,216,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,28.108211716011283,0.4645639170955626,0.4524621498880628,-0.0433047826082259,,,lbfgs,15.0,,,,,,,
AWT,bird,awt04,pa_holdout,1,global_conditional_density,216,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,71.24736936099362,0.4653637501738766,0.4534892703937522,-0.0486654053451378,,,lbfgs,12.0,0.0,2070.888347068746,0.05,True,True,True,True
AWT,bird,awt04,pa_holdout,2,global_conditional_density,216,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,28.24352897399513,0.4646682431492558,0.4525450482164393,-0.043046909855808,,,lbfgs,15.0,,,,,,,
AWT,bird,awt04,pa_holdout,2,global_conditional_density,216,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,69.17588191699178,0.4659549311448046,0.453523455229523,-0.0484982099566606,,,lbfgs,12.0,0.0,2071.027760803684,0.05,True,True,True,True
AWT,bird,awt05,pa_holdout,0,global_conditional_density,114,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,34.23030042700702,0.7327717667562269,0.2735606034489157,0.5112567007822605,,,lbfgs,15.0,,,,,,,
AWT,bird,awt05,pa_holdout,0,global_conditional_density,114,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,76.36930970600224,0.7061941761673081,0.2492436891932222,0.4479560088719843,,,lbfgs,12.0,0.0,1004.4149897408464,0.05,True,True,True,True
AWT,bird,awt05,pa_holdout,1,global_conditional_density,114,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,27.51933954600827,0.7326265340207683,0.2737143311267938,0.5106919735085326,,,lbfgs,15.0,,,,,,,
AWT,bird,awt05,pa_holdout,1,global_conditional_density,114,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,75.62410427800205,0.7070655725800595,0.2454175103474788,0.4488624071603682,,,lbfgs,12.0,0.0,1004.6336504833668,0.05,True,True,True,True
AWT,bird,awt05,pa_holdout,2,global_conditional_density,114,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,29.81726025999524,0.7324813012853097,0.2736170369821453,0.5106160833868227,,,lbfgs,15.0,,,,,,,
AWT,bird,awt05,pa_holdout,2,global_conditional_density,114,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,81.51084181100305,0.7062667925350374,0.2448068547676014,0.4453460874267463,,,lbfgs,12.0,0.0,1003.9929489315134,0.05,True,True,True,True
AWT,bird,awt06,pa_holdout,0,global_conditional_density,265,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,30.356895126999007,0.6440180350214952,0.6196974616626065,0.3191617129398542,,,lbfgs,15.0,,,,,,,
AWT,bird,awt06,pa_holdout,0,global_conditional_density,265,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,73.17188630701276,0.6310509943727938,0.6077851401647743,0.2962905096437137,,,lbfgs,12.0,0.0,2516.5053353981048,0.05,True,True,True,True
AWT,bird,awt06,pa_holdout,1,global_conditional_density,265,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,38.04914180299966,0.6439481318374052,0.6196742631279164,0.3190403532452535,,,lbfgs,15.0,,,,,,,
AWT,bird,awt06,pa_holdout,1,global_conditional_density,265,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,91.4955569649901,0.6282898186012373,0.609638596954867,0.2817065531353008,,,lbfgs,12.0,0.0,2517.621633969335,0.05,True,True,True,True
AWT,bird,awt06,pa_holdout,2,global_conditional_density,265,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,additive_kan_ipp,50000,True,35.4171122770058,0.6439131802453602,0.6196760122434187,0.3187997834802154,,,lbfgs,15.0,,,,,,,
AWT,bird,awt06,pa_holdout,2,global_conditional_density,265,340,onehot_l2,0.0,0.01,1e-06,frozen_default,9,"G=6,K=3",random_50k,full_background_50k,ipp,deep2_kan_ipp,50000,True,89.60148886799288,0.6363985879556814,0.6133206883144464,0.3042991459373789,,,lbfgs,12.0,0.0,2516.1475466959587,0.05,True,True,True,True
